Strain	0	1	2	3	4	5
Shanghai/SH0081/2020	20	9	6	6	5	2
Shanghai/SH0083/2020	3	3	3	3	3	2
Shanghai/SH0085/2020	3	3	3	3	3	2
Shanghai/SH0086/2020	2	2	2	2	2	2
Shanghai/SH0088/2020	3	3	3	3	3	2
Shanghai/SH0091/2020	3	3	3	3	3	2
Shanghai/SH0093/2020	3	3	3	3	3	2
Shanghai/SH0094/2020	3	3	3	3	3	2
Shanghai/SH0098/2020	5	3	3	3	3	2
Shanghai/SH01/2020	3	3	3	3	3	2
Shanghai/SH0100/2020	1	1	1	1	1	1
Shanghai/SH0101/2020	3	3	3	3	3	2
Shanghai/SH0102/2020	3	3	3	3	3	2
Shanghai/SH0104/2020	5	3	3	3	3	2
Shanghai/SH0106/2020	5	3	3	3	3	2
Shanghai/SH0107/2020	3	3	3	3	3	2
Shanghai/SH0109/2020	3	3	3	3	3	2
Shanghai/SH0110/2020	3	3	3	3	3	2
Shanghai/SH0112/2020	5	3	3	3	3	2
Shanghai/SH0114/2020	3	3	3	3	3	2
Shanghai/SH0115/2020	1	1	1	1	1	1
Shanghai/SH0117/2020	1	1	1	1	1	1
Shanghai/SH0119/2020	3	3	3	3	3	2
Shanghai/SH0121/2020	3	3	3	3	3	2
Shanghai/SH0125/2020	20	9	6	6	5	2
Shanghai/SH0126/2020	20	9	6	6	5	2
Shanghai/SH0127/2020	5	3	3	3	3	2
Shanghai/SH0128/2020	1	1	1	1	1	1
Shangrao/JX105/2020	1	1	1	1	1	1
Shangrao/JX1176/2020	3	3	3	3	3	2
Shangrao/JX1177/2020	3	3	3	3	3	2
Shangrao/JX1178/2020	3	3	3	3	3	2
Shangrao/JX1215/2020	3	3	3	3	3	2
Shangrao/JX1948/2020	1	1	1	1	1	1
Shangrao/JX1974/2020	3	3	3	3	3	2
Shangrao/JX29/2020	1	1	1	1	1	1
Shaoxing/01/2020	1	1	1	1	1	1
Shaoxing/02/2020	1	1	1	1	1	1
Shaoxing/03/2020	1	1	1	1	1	1
Shaoxing/04/2020	1	1	1	1	1	1
Shaoxing/05/2020	3	3	3	3	3	2
Shaoxing/06/2020	1	1	1	1	1	1
Shaoxing/07/2020	3	3	3	3	3	2
Shaoxing/08/2020	5	3	3	3	3	2
Shaoxing/09/2020	14	12	3	3	3	2
Shaoxing/10/2020	14	12	3	3	3	2
Shenzhen/SZTH-003/2020	3	3	3	3	3	2
Shenzhen/SZTH-004/2020	3	3	3	3	3	2
Sichuan/SC-GA-061/2020	3	3	3	3	3	2
Sichuan/SC-GA-062/2020	3	3	3	3	3	2
Sichuan/SC-GA-063/2020	3	3	3	3	3	2
Sichuan/SC-GA-064/2020	3	3	3	3	3	2
Sichuan/SC-GA-065/2020	5	3	3	3	3	2
Sichuan/SC-GA-066/2020	5	3	3	3	3	2
Sichuan/SC-LZ-079/2020	5	3	3	3	3	2
Sichuan/SC-MY-001/2020	21	16	9	8	2	2
Sichuan/SC-MY-053/2020	5	3	3	3	3	2
Sichuan/SC-MY-054/2020	5	3	3	3	3	2
Sichuan/SC-MY-055/2020	3	3	3	3	3	2
Sichuan/SC-MY-056/2020	5	3	3	3	3	2
Sichuan/SC-MY-057/2020	3	3	3	3	3	2
Sichuan/SC-MY-058/2020	3	3	3	3	3	2
Sichuan/SC-MY-059/2020	5	3	3	3	3	2
Sichuan/SC-MY-060/2020	3	3	3	3	3	2
Sichuan/SC-NC-067/2020	3	3	3	3	3	2
Sichuan/SC-NC-068/2020	3	3	3	3	3	2
Sichuan/SC-NC-069/2020	3	3	3	3	3	2
Sichuan/SC-NC-071/2020	5	3	3	3	3	2
Sichuan/SC-NC-072/2020	3	3	3	3	3	2
Sichuan/SC-NC-073/2020	5	3	3	3	3	2
Sichuan/SC-NC-074/2020	5	3	3	3	3	2
Sichuan/SC-NC-075/2020	5	3	3	3	3	2
Sichuan/SC-NC-076/2020	3	3	3	3	3	2
Sichuan/SC-NC-077/2020	3	3	3	3	3	2
Sichuan/SC-NC-078/2020	5	3	3	3	3	2
Sichuan/SC-NJ-089/2020	3	3	3	3	3	2
Sichuan/SC-NJ-090/2020	3	3	3	3	3	2
Sichuan/SC-NJ-091/2020	3	3	3	3	3	2
Sichuan/SC-NJ-092/2020	3	3	3	3	3	2
Sichuan/SC-NJ-093/2020	5	3	3	3	3	2
Sichuan/SC-NJ-094/2020	3	3	3	3	3	2
Sichuan/SC-NJ-095/2020	3	3	3	3	3	2
Sichuan/SC-PHCC1-022/2020	2	2	2	2	2	2
Sichuan/SC-PHCC1-025/2020	1	1	1	1	1	1
Sichuan/SC-PHCC1-026/2020	5	3	3	3	3	2
Sichuan/SC-PHCC1-027/2020	1	1	1	1	1	1
Sichuan/SC-PHCC1-028/2020	3	3	3	3	3	2
Sichuan/SC-PHCC1-029/2020	3	3	3	3	3	2
Sichuan/SC-PHCC1-030/2020	5	3	3	3	3	2
Sichuan/SC-PHCC1-031/2020	3	3	3	3	3	2
Sichuan/SC-PHCC1-032/2020	5	3	3	3	3	2
Sichuan/SC-PHCC1-033/2020	1	1	1	1	1	1
Sichuan/SC-PHCC1-034/2020	5	3	3	3	3	2
Sichuan/SC-PHCC1-035/2020	5	3	3	3	3	2
Sichuan/SC-PHCC1-036/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-038/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-039/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-040/2020	1	1	1	1	1	1
Sichuan/SC-PHCC2-041/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-042/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-043/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-044/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-045/2020	14	12	3	3	3	2
Sichuan/SC-PHCC2-046/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-047/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-048/2020	14	12	3	3	3	2
Sichuan/SC-PHCC2-049/2020	3	3	3	3	3	2
Sichuan/SC-PHCC2-050/2020	1	1	1	1	1	1
Sichuan/SC-PHCC2-051/2020	14	12	3	3	3	2
Sichuan/SC-PHCC2-052/2020	3	3	3	3	3	2
Sichuan/SC-WCH-081/2020	3	3	3	3	3	2
Sichuan/SC-WCH-082/2020	3	3	3	3	3	2
Sichuan/SC-WCH-308/2020	3	3	3	3	3	2
Sichuan/SC-WCH-310/2020	3	3	3	3	3	2
Sichuan/SC-WCH-311/2020	5	3	3	3	3	2
Sichuan/SC-WCH-315/2020	3	3	3	3	3	2
Sichuan/SC-WCH1-002/2020	3	3	3	3	3	2
Sichuan/SC-WCH1-005/2020	5	3	3	3	3	2
Sichuan/SC-WCH2-006/2020	5	3	3	3	3	2
Sichuan/SC-WCH2-017/2020	3	3	3	3	3	2
Sichuan/SC-WCH3-254/2020	14	12	3	3	3	2
Sichuan/SC-WCH3-255/2020	1	1	1	1	1	1
Sichuan/SC-WCH3-259/2020	3	3	3	3	3	2
Sichuan/SC-WCH4-284/2020	3	3	3	3	3	2
Sichuan/SC-WCH4-285/2020	3	3	3	3	3	2
Sichuan/SC-WCH4-286/2020	3	3	3	3	3	2
Sichuan/SC-WCH4-287/2020	5	3	3	3	3	2
Sichuan/SC-WCH4-288/2020	5	3	3	3	3	2
Sichuan/SC-WCH4-289/2020	3	3	3	3	3	2
Sichuan/SC-WCH4-290/2020	3	3	3	3	3	2
Sichuan/SC-WCH4-291/2020	3	3	3	3	3	2
Sichuan/SC-WCH4-293/2020	22	12	3	3	3	2
Sichuan/SC-WCH4-301/2020	3	3	3	3	3	2
Sichuan/SC-YA-087/2020	3	3	3	3	3	2
Sichuan/SC-YA-088/2020	3	3	3	3	3	2
Sichuan/SC-YB-085/2020	3	3	3	3	3	2
Sichuan/SC-YB-086/2020	3	3	3	3	3	2
Tianmen/HBCDC-HB-07/2020	1	1	1	1	1	1
USA/AK-PHL002/2020	9	8	2	2	2	2
USA/AK-PHL003/2020	9	8	2	2	2	2
USA/AR-QDX-1315/2020	7	6	2	2	2	2
USA/AZ-CDC-1911/2020	7	6	2	2	2	2
USA/AZ-QDX-1897/2020	23	17	10	9	2	2
USA/AZ-QDX-2163/2020	23	17	10	9	2	2
USA/AZ-QDX-2260/2020	7	6	2	2	2	2
USA/AZ-QDX-2267/2020	13	3	3	3	3	2
USA/AZ-QDX-2310/2020	21	16	9	8	2	2
USA/AZ-QDX-2311/2020	7	6	2	2	2	2
USA/AZ-QDX-2336/2020	11	10	7	7	6	1
USA/AZ-QDX-2547/2020	24	8	2	2	2	2
USA/AZ-TG266871/2020	11	10	7	7	6	1
USA/AZ-TG268417/2020	25	18	11	10	2	2
USA/AZ-TG268893/2020	11	10	7	7	6	1
USA/AZ-TG268903/2020	11	10	7	7	6	1
USA/AZ-TG268905/2020	26	19	12	11	2	2
USA/AZ-TG268909/2020	27	20	13	12	2	2
USA/AZ-TG268911/2020	7	6	2	2	2	2
USA/AZ-TG268913/2020	11	10	7	7	6	1
USA/AZ-TG268915/2020	7	6	2	2	2	2
USA/AZ-TG268917/2020	7	6	2	2	2	2
USA/AZ-TG269856/2020	24	8	2	2	2	2
USA/AZ-TG269883/2020	7	6	2	2	2	2
USA/AZ1/2020	1	1	1	1	1	1
USA/AZ_4811/2020	28	21	14	8	2	2
USA/AZ_8132/2020	11	10	7	7	6	1
USA/AZ_8135/2020	11	10	7	7	6	1
USA/CA-ALSR-0515-SAN/2020	29	22	15	13	2	2
USA/CA-ALSR-0835-SAN/2020	11	10	7	7	6	1
USA/CA-ALSR-1380/2020	7	6	2	2	2	2
USA/CA-ALSR-1382/2020	9	8	2	2	2	2
USA/CA-ALSR-1383/2020	21	16	9	8	2	2
USA/CA-ALSR-1384/2020	20	9	6	6	5	2
USA/CA-ALSR-1385/2020	30	23	16	14	7	2
USA/CA-ALSR-1499/2020	11	10	7	7	6	1
USA/CA-CDC-1/2020	1	1	1	1	1	1
USA/CA-CDC-2602/2020	3	3	3	3	3	2
USA/CA-CDC-3/2020	3	3	3	3	3	2
USA/CA-CDC-4/2020	3	3	3	3	3	2
USA/CA-CDC-5/2020	3	3	3	3	3	2
USA/CA-CDC-6/2020	3	3	3	3	3	2
USA/CA-CDC-7/2020	1	1	1	1	1	1
USA/CA-CDC-8/2020	3	3	3	3	3	2
USA/CA-CDC-8726/2020	24	8	2	2	2	2
USA/CA-CDC-9/2020	3	3	3	3	3	2
USA/CA-CDPH-UC1/2020	11	10	7	7	6	1
USA/CA-CDPH-UC10-2/2020	11	10	7	7	6	1
USA/CA-CDPH-UC10/2020	11	10	7	7	6	1
USA/CA-CDPH-UC11/2020	11	10	7	7	6	1
USA/CA-CDPH-UC12/2020	24	8	2	2	2	2
USA/CA-CDPH-UC18/2020	5	3	3	3	3	2
USA/CA-CDPH-UC19/2020	11	10	7	7	6	1
USA/CA-CDPH-UC2/2020	3	3	3	3	3	2
USA/CA-CDPH-UC20/2020	11	10	7	7	6	1
USA/CA-CDPH-UC21/2020	3	3	3	3	3	2
USA/CA-CDPH-UC22/2020	11	10	7	7	6	1
USA/CA-CDPH-UC23/2020	11	10	7	7	6	1
USA/CA-CDPH-UC24/2020	31	24	17	15	2	2
USA/CA-CDPH-UC25/2020	5	3	3	3	3	2
USA/CA-CDPH-UC26/2020	7	6	2	2	2	2
USA/CA-CDPH-UC27/2020	32	25	18	16	2	2
USA/CA-CDPH-UC28/2020	11	10	7	7	6	1
USA/CA-CDPH-UC3/2020	3	3	3	3	3	2
USA/CA-CDPH-UC30/2020	11	10	7	7	6	1
USA/CA-CDPH-UC31/2020	1	1	1	1	1	1
USA/CA-CDPH-UC4/2020	3	3	3	3	3	2
USA/CA-CDPH-UC5/2020	11	10	7	7	6	1
USA/CA-CDPH-UC6/2020	11	10	7	7	6	1
USA/CA-CDPH-UC7/2020	11	10	7	7	6	1
USA/CA-CDPH-UC8/2020	11	10	7	7	6	1
USA/CA-CDPH-UC9/2020	11	10	7	7	6	1
USA/CA-CDPH001/2020	11	10	7	7	6	1
USA/CA-CDPH016/2020	3	3	3	3	3	2
USA/CA-CDPH017/2020	3	3	3	3	3	2
USA/CA-CDPH018/2020	11	10	7	7	6	1
USA/CA-CDPH019/2020	3	3	3	3	3	2
USA/CA-CDPH020/2020	31	24	17	15	2	2
USA/CA-CDPH060/2020	11	10	7	7	6	1
USA/CA-CDPH061/2020	11	10	7	7	6	1
USA/CA-CZB-1277/2020	7	6	2	2	2	2
USA/CA-CZB-1413/2020	26	19	12	11	2	2
USA/CA-CZB-1415/2020	7	6	2	2	2	2
USA/CA-CZB-1575/2020	11	10	7	7	6	1
USA/CA-CZB-1576/2020	11	10	7	7	6	1
USA/CA-CZB-1577/2020	11	10	7	7	6	1
USA/CA-CZB-1761/2020	19	8	2	2	2	2
USA/CA-CZB-1763/2020	3	3	3	3	3	2
USA/CA-CZB-1764/2020	11	10	7	7	6	1
USA/CA-CZB-1765/2020	19	8	2	2	2	2
USA/CA-CZB-1766/2020	11	10	7	7	6	1
USA/CA-CZB-1767/2020	13	3	3	3	3	2
USA/CA-CZB-1768/2020	13	3	3	3	3	2
USA/CA-CZB-1771/2020	3	3	3	3	3	2
USA/CA-CZB-1788/2020	11	10	7	7	6	1
USA/CA-CZB-3635/2020	24	8	2	2	2	2
USA/CA-CZB-3636/2020	26	19	12	11	2	2
USA/CA-CZB-9682/2020	5	3	3	3	3	2
USA/CA-CZB-9705/2020	3	3	3	3	3	2
USA/CA-CZB-9724/2020	28	21	14	8	2	2
USA/CA-CZB-9725/2020	5	3	3	3	3	2
USA/CA-CZB-9729/2020	11	10	7	7	6	1
USA/CA-CZB-9730/2020	7	6	2	2	2	2
USA/CA-CZB-9731/2020	9	8	2	2	2	2
USA/CA-NHRC-01/2020	11	10	7	7	6	1
USA/CA-PC101P/2020	9	8	2	2	2	2
USA/CA-QDX-03/2020	11	10	7	7	6	1
USA/CA-QDX-101/2020	26	19	12	11	2	2
USA/CA-QDX-103/2020	9	8	2	2	2	2
USA/CA-QDX-110/2020	33	26	19	17	2	2
USA/CA-QDX-111/2020	34	27	20	18	8	1
USA/CA-QDX-1248/2020	35	28	21	19	2	2
USA/CA-QDX-129/2020	36	29	22	8	2	2
USA/CA-QDX-157/2020	26	19	12	11	2	2
USA/CA-QDX-1705/2020	37	30	23	20	5	2
USA/CA-QDX-1713/2020	37	30	23	20	5	2
USA/CA-QDX-1773/2020	7	6	2	2	2	2
USA/CA-QDX-1871/2020	33	26	19	17	2	2
USA/CA-QDX-1872/2020	7	6	2	2	2	2
USA/CA-QDX-1873/2020	3	3	3	3	3	2
USA/CA-QDX-1875/2020	7	6	2	2	2	2
USA/CA-QDX-1879/2020	11	10	7	7	6	1
USA/CA-QDX-1881/2020	3	3	3	3	3	2
USA/CA-QDX-1882/2020	21	16	9	8	2	2
USA/CA-QDX-1891/2020	26	19	12	11	2	2
USA/CA-QDX-1895/2020	33	26	19	17	2	2
USA/CA-QDX-1905/2020	11	10	7	7	6	1
USA/CA-QDX-1910/2020	9	8	2	2	2	2
USA/CA-QDX-1914/2020	11	10	7	7	6	1
USA/CA-QDX-1916/2020	11	10	7	7	6	1
USA/CA-QDX-1920/2020	3	3	3	3	3	2
USA/CA-QDX-1927/2020	3	3	3	3	3	2
USA/CA-QDX-1931/2020	36	29	22	8	2	2
USA/CA-QDX-1944/2020	11	10	7	7	6	1
USA/CA-QDX-1953/2020	11	10	7	7	6	1
USA/CA-QDX-1961/2020	11	10	7	7	6	1
USA/CA-QDX-1975/2020	34	27	20	18	8	1
USA/CA-QDX-1979/2020	31	24	17	15	2	2
USA/CA-QDX-2074/2020	37	30	23	20	5	2
USA/CA-QDX-2075/2020	11	10	7	7	6	1
USA/CA-QDX-21/2020	38	31	24	21	9	2
USA/CA-QDX-2116/2020	7	6	2	2	2	2
USA/CA-QDX-2159/2020	3	3	3	3	3	2
USA/CA-QDX-2203/2020	3	3	3	3	3	2
USA/CA-QDX-2204/2020	36	29	22	8	2	2
USA/CA-QDX-2226/2020	3	3	3	3	3	2
USA/CA-QDX-2229/2020	7	6	2	2	2	2
USA/CA-QDX-2244/2020	39	32	25	22	10	1
USA/CA-QDX-2245/2020	13	3	3	3	3	2
USA/CA-QDX-2256/2020	11	10	7	7	6	1
USA/CA-QDX-2263/2020	28	21	14	8	2	2
USA/CA-QDX-2275/2020	7	6	2	2	2	2
USA/CA-QDX-2282/2020	11	10	7	7	6	1
USA/CA-QDX-2303/2020	7	6	2	2	2	2
USA/CA-QDX-2340/2020	11	10	7	7	6	1
USA/CA-QDX-2345/2020	9	8	2	2	2	2
USA/CA-QDX-2382/2020	24	8	2	2	2	2
USA/CA-QDX-2383/2020	3	3	3	3	3	2
USA/CA-QDX-2424/2020	11	10	7	7	6	1
USA/CA-QDX-2433/2020	11	10	7	7	6	1
USA/CA-QDX-2475/2020	11	10	7	7	6	1
USA/CA-QDX-2485/2020	37	30	23	20	5	2
USA/CA-QDX-2489/2020	40	33	3	3	3	2
USA/CA-QDX-2496/2020	21	16	9	8	2	2
USA/CA-QDX-2503/2020	28	21	14	8	2	2
USA/CA-QDX-2515/2020	41	34	26	8	2	2
USA/CA-QDX-2519/2020	7	6	2	2	2	2
USA/CA-QDX-2524/2020	3	3	3	3	3	2
USA/CA-QDX-2540/2020	7	6	2	2	2	2
USA/CA-QDX-2555/2020	3	3	3	3	3	2
USA/CA-QDX-2559/2020	3	3	3	3	3	2
USA/CA-QDX-2581/2020	11	10	7	7	6	1
USA/CA-QDX-2610/2020	7	6	2	2	2	2
USA/CA-QDX-2615/2020	13	3	3	3	3	2
USA/CA-QDX-2623/2020	13	3	3	3	3	2
USA/CA-QDX-2630/2020	42	35	27	23	2	2
USA/CA-QDX-2637/2020	11	10	7	7	6	1
USA/CA-QDX-2645/2020	43	36	28	8	2	2
USA/CA-QDX-2658/2020	44	37	29	24	2	2
USA/CA-QDX-2677/2020	45	38	30	25	2	2
USA/CA-QDX-29/2020	26	19	12	11	2	2
USA/CA-QDX-33/2020	30	23	16	14	7	2
USA/CA-QDX-34/2020	35	28	21	19	2	2
USA/CA-QDX-36/2020	11	10	7	7	6	1
USA/CA-QDX-38/2020	46	39	31	26	7	2
USA/CA-QDX-43/2020	26	19	12	11	2	2
USA/CA-QDX-45/2020	11	10	7	7	6	1
USA/CA-QDX-48/2020	11	10	7	7	6	1
USA/CA-QDX-50/2020	47	40	32	8	2	2
USA/CA-QDX-51/2020	30	23	16	14	7	2
USA/CA-QDX-67/2020	7	6	2	2	2	2
USA/CA-QDX-79/2020	11	10	7	7	6	1
USA/CA-QDX-83/2020	7	6	2	2	2	2
USA/CA-QDX-84/2020	11	10	7	7	6	1
USA/CA-QDX-86/2020	9	8	2	2	2	2
USA/CA-QDX-92/2020	11	10	7	7	6	1
USA/CA-QDX-97/2020	36	29	22	8	2	2
USA/CA-QDX-98/2020	7	6	2	2	2	2
USA/CA-QDX-99/2020	11	10	7	7	6	1
USA/CA-SCCPHD-UC101/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC102/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC103/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC104/2020	24	8	2	2	2	2
USA/CA-SCCPHD-UC105/2020	24	8	2	2	2	2
USA/CA-SCCPHD-UC106/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC107/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC108/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC109/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC110/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC111/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC112/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC113/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC114/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC115/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC116/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC117/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC118/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC119/2020	19	8	2	2	2	2
USA/CA-SCCPHD-UC120/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC121/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC122/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC123/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC124/2020	11	10	7	7	6	1
USA/CA-SCCPHD-UC125/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC126/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC127/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC128/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC129/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC13/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC130/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC131/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC132/2020	11	10	7	7	6	1
USA/CA-SCCPHD-UC133/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC134/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC135/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC136/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC137/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC138/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC139/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC14/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC140/2020	11	10	7	7	6	1
USA/CA-SCCPHD-UC141/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC142/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC143/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC144/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC145/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC146/2020	11	10	7	7	6	1
USA/CA-SCCPHD-UC147/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC148/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC149/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC15/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC150/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC151/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC152/2020	11	10	7	7	6	1
USA/CA-SCCPHD-UC153/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC154/2020	48	2	2	2	2	2
USA/CA-SCCPHD-UC155/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC156/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC157/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC158/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC159/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC16/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC160/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC161/2020	11	10	7	7	6	1
USA/CA-SCCPHD-UC162/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC163/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC164/2020	45	38	30	25	2	2
USA/CA-SCCPHD-UC165/2020	48	2	2	2	2	2
USA/CA-SCCPHD-UC166/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC167/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC168/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC169/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC17/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC170/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC171/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC172/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC173/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC174/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC175/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC176/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC177/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC178/2020	48	2	2	2	2	2
USA/CA-SCCPHD-UC179/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC180/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC187/2020	49	24	17	15	2	2
USA/CA-SCCPHD-UC195/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC196/2020	5	3	3	3	3	2
USA/CA-SCCPHD-UC200/2020	11	10	7	7	6	1
USA/CA-SCCPHD-UC34/2020	3	3	3	3	3	2
USA/CA-SCCPHD-UC35/2020	3	3	3	3	3	2
USA/CA-SR0097/2020	11	10	7	7	6	1
USA/CA-SR0098/2020	35	28	21	19	2	2
USA/CA-SR0099/2020	7	6	2	2	2	2
USA/CA-SR0100/2020	11	10	7	7	6	1
USA/CA-SR0104/2020	7	6	2	2	2	2
USA/CA-SR0106/2020	11	10	7	7	6	1
USA/CA-SR0107/2020	11	10	7	7	6	1
USA/CA-SR0117/2020	7	6	2	2	2	2
USA/CA-SR0118/2020	20	9	6	6	5	2
USA/CA-SR0136/2020	35	28	21	19	2	2
USA/CA-SR0199/2020	20	9	6	6	5	2
USA/CA-SR0204/2020	30	23	16	14	7	2
USA/CA-SR0415/2020	11	10	7	7	6	1
USA/CA-SR0416/2020	11	10	7	7	6	1
USA/CA-SR0421/2020	11	10	7	7	6	1
USA/CA-SR0428/2020	11	10	7	7	6	1
USA/CA-SR0429/2020	7	6	2	2	2	2
USA/CA-SR0430/2020	35	28	21	19	2	2
USA/CA-SR0436/2020	11	10	7	7	6	1
USA/CA-SR0443/2020	11	10	7	7	6	1
USA/CA-SR0449/2020	11	10	7	7	6	1
USA/CA-SR0450/2020	30	23	16	14	7	2
USA/CA-SR0454/2020	30	23	16	14	7	2
USA/CA-SR0460/2020	11	10	7	7	6	1
USA/CA-UCLA-233/2020	11	10	7	7	6	1
USA/CA-UCLA-260/2020	20	9	6	6	5	2
USA/CA-UCLA-47/2020	34	27	20	18	8	1
USA/CA-UCLA-48/2020	36	29	22	8	2	2
USA/CA-UCLA-49/2020	21	16	9	8	2	2
USA/CA-UCLA-51/2020	11	10	7	7	6	1
USA/CA-UCLA-59/2020	24	8	2	2	2	2
USA/CA-UCLA-80/2020	40	33	3	3	3	2
USA/CA-UCLA-81/2020	20	9	6	6	5	2
USA/CA-UCSF-UC32/2020	3	3	3	3	3	2
USA/CA-UCSF-UC33/2020	3	3	3	3	3	2
USA/CA-UCSF-UC40/2020	36	29	22	8	2	2
USA/CA-UCSF-UC41/2020	13	3	3	3	3	2
USA/CA-UCSF-UC42/2020	11	10	7	7	6	1
USA/CA-UCSF-UC43/2020	50	41	33	27	11	2
USA/CA-USAFSAM-S094/2020	30	23	16	14	7	2
USA/CA2/2020	5	3	3	3	3	2
USA/CO-CDC-5607/2020	3	3	3	3	3	2
USA/CO-CDC-5610/2020	51	10	7	7	6	1
USA/CO-CDC-5667/2020	51	10	7	7	6	1
USA/CO-CDC-5780/2020	51	10	7	7	6	1
USA/CO-CDPHE-2003040178/2020	34	27	20	18	8	1
USA/CO-CDPHE-2003050035/2020	9	8	2	2	2	2
USA/CO-CDPHE-2003050090/2020	7	6	2	2	2	2
USA/CO-CDPHE-2003050101/2020	39	32	25	22	10	1
USA/CO-CDPHE-2003100027/2020	7	6	2	2	2	2
USA/CO-CDPHE-2003100160/2020	7	6	2	2	2	2
USA/CO-CDPHE-2003100174/2020	7	6	2	2	2	2
USA/CO-CDPHE-2003110083/2020	7	6	2	2	2	2
USA/CO-CDPHE-2003110385/2020	9	8	2	2	2	2
