Strain	0	1	2	3	4	5
Guangdong/20SF665/2020	3	3	3	3	3	2
Guangdong/20SF684/2020	1	1	1	1	1	1
Guangdong/20SF685/2020	1	1	1	1	1	1
Guangdong/20SF753/2020	5	3	3	3	3	2
Guangdong/20SF758/2020	3	3	3	3	3	2
Guangdong/20SF808/2020	3	3	3	3	3	2
Guangdong/20SF812/2020	3	3	3	3	3	2
Guangdong/20SF813/2020	1	1	1	1	1	1
Guangdong/20SF822/2020	5	3	3	3	3	2
Guangdong/20SF840/2020	3	3	3	3	3	2
Guangdong/DG-S2-P0054/2020	3	3	3	3	3	2
Guangdong/DG-S41-P0056/2020	5	3	3	3	3	2
Guangdong/DG-S6-P0055/2020	5	3	3	3	3	2
Guangdong/DG-S9-P0045/2020	3	3	3	3	3	2
Guangdong/FS-S29-P0051/2020	1	1	1	1	1	1
Guangdong/FS-S30-P0052/2020	11	10	7	7	6	1
Guangdong/FS-S34-P0015/2020	11	10	7	7	6	1
Guangdong/FS-S42-P0046/2020	3	3	3	3	3	2
Guangdong/FS-S48-P0047/2020	5	3	3	3	3	2
Guangdong/FS-S50-P0053/2020	3	3	3	3	3	2
Guangdong/GD2020012-P0022/2020	5	3	3	3	3	2
Guangdong/GD2020016-P0011/2020	5	3	3	3	3	2
Guangdong/GD2020080-P0010/2020	3	3	3	3	3	2
Guangdong/GD2020085-P0043/2020	1	1	1	1	1	1
Guangdong/GD2020086-P0021/2020	11	10	7	7	6	1
Guangdong/GD2020087-P0008/2020	5	3	3	3	3	2
Guangdong/GD2020115-P0009/2020	3	3	3	3	3	2
Guangdong/GD2020134-P0031/2020	3	3	3	3	3	2
Guangdong/GD2020139-P0007/2020	3	3	3	3	3	2
Guangdong/GD2020227-P0029/2020	3	3	3	3	3	2
Guangdong/GD2020233-P0027/2020	14	12	3	3	3	2
Guangdong/GD2020234-P0023/2020	11	10	7	7	6	1
Guangdong/GD2020241-P0013/2020	5	3	3	3	3	2
Guangdong/GD2020246-P0028/2020	3	3	3	3	3	2
Guangdong/GD2020258-P0018/2020	3	3	3	3	3	2
Guangdong/GDFS2020052-P0025/2020	3	3	3	3	3	2
Guangdong/GDFS2020054-P0005/2020	5	3	3	3	3	2
Guangdong/GDFS2020056-P0044/2020	1	1	1	1	1	1
Guangdong/GDFS2020127-P0026/2020	3	3	3	3	3	2
Guangdong/GDSZ202004-P0004/2020	3	3	3	3	3	2
Guangdong/GDSZ202008-P0020/2020	3	3	3	3	3	2
Guangdong/GDSZ202009-P0032/2020	1	1	1	1	1	1
Guangdong/GDSZ202013-P0014/2020	15	13	7	7	6	1
Guangdong/GDSZ202015-P0019/2020	1	1	1	1	1	1
Guangdong/GZ-S6-P0050/2020	1	1	1	1	1	1
Guangdong/JM-S1-P0062/2020	3	3	3	3	3	2
Guangdong/MM-S1-P0048/2020	3	3	3	3	3	2
Guangdong/MZ01/2020	14	12	3	3	3	2
Guangdong/MZ02/2020	14	12	3	3	3	2
Guangdong/SZ-N128-P0057/2020	1	1	1	1	1	1
Guangdong/SZ-N59-P0049/2020	3	3	3	3	3	2
Guangdong/ZH-N22-P0059/2020	5	3	3	3	3	2
Guangdong/ZH-S33-P0058/2020	3	3	3	3	3	2
Guangdong/ZQ-S2-P0061/2020	5	3	3	3	3	2
Guangdong/ZS-S6-P0060/2020	1	1	1	1	1	1
Guangzhou/20SF206/2020	3	3	3	3	3	2
Guangzhou/GZMU0003/2020	3	3	3	3	3	2
Guangzhou/GZMU0008/2020	1	1	1	1	1	1
Guangzhou/GZMU0009/2020	3	3	3	3	3	2
Guangzhou/GZMU0010/2020	3	3	3	3	3	2
Guangzhou/GZMU0013/2020	3	3	3	3	3	2
Guangzhou/GZMU0014/2020	3	3	3	3	3	2
Guangzhou/GZMU0016/2020	1	1	1	1	1	1
Guangzhou/GZMU0017/2020	3	3	3	3	3	2
Guangzhou/GZMU0019/2020	2	2	2	2	2	2
Guangzhou/GZMU0020/2020	16	3	3	3	3	2
Guangzhou/GZMU0023/2020	1	1	1	1	1	1
Guangzhou/GZMU0024/2020	1	1	1	1	1	1
Guangzhou/GZMU0025/2020	1	1	1	1	1	1
Guangzhou/GZMU0030/2020	3	3	3	3	3	2
Guangzhou/GZMU0031/2020	3	3	3	3	3	2
Guangzhou/GZMU0033/2020	3	3	3	3	3	2
Guangzhou/GZMU0034/2020	3	3	3	3	3	2
Guangzhou/GZMU0035/2020	3	3	3	3	3	2
Guangzhou/GZMU0036/2020	3	3	3	3	3	2
Guangzhou/GZMU0037/2020	2	2	2	2	2	2
Guangzhou/GZMU0039/2020	1	1	1	1	1	1
Guangzhou/GZMU0041/2020	1	1	1	1	1	1
Guangzhou/GZMU0042/2020	14	12	3	3	3	2
Guangzhou/GZMU0044/2020	1	1	1	1	1	1
Guangzhou/GZMU0045/2020	1	1	1	1	1	1
Guangzhou/GZMU0046/2020	1	1	1	1	1	1
Guangzhou/GZMU0047/2020	1	1	1	1	1	1
Guangzhou/GZMU0048/2020	1	1	1	1	1	1
Guangzhou/GZMU0049/2020	14	12	3	3	3	2
Guangzhou/GZMU0050/2020	14	12	3	3	3	2
Guangzhou/GZMU0051/2020	3	3	3	3	3	2
