Strain	Latitude	Longitude	Day	Month	Year	Source	Country	Province	City	TP2	Date	YearMonth	YearWeek
Portugal/PT1595/2020	56.2487679	9.3879137	4	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-04	2020-07	2020-27
Netherlands/NH-EMC-49/2020	52.5769081	4.924386	3	7	2020	Cow_Farm	Netherlands	North Holland	0	1	2020-07-03	2020-07	2020-27
Netherlands/ZH-EMC-295/2020	51.9377823	4.462554	3	7	2020	Cow_Farm	Netherlands	South Holland	0	1	2020-07-03	2020-07	2020-27
Wales/ALDP-68A28A/2020	51.481308	-3.1804979	2	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-02	2020-07	2020-27
Portugal/PT1600/2020	56.2487679	9.3879137	4	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-04	2020-07	2020-27
Spain/CT-IBV-98006565/2020	41.7979813	1.528533	3	7	2020	Cow_Farm	Spain	Catalunya	Barcelona	1	2020-07-03	2020-07	2020-27
Switzerland/ZH-ETHZ-180041/2020	47.3670006	8.5500002	2	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-02	2020-07	2020-27
Netherlands/ZH-EMC-269/2020	51.9377823	4.462554	1	7	2020	Cow_Farm	Netherlands	South Holland	0	1	2020-07-01	2020-07	2020-27
Spain/VC-IBV-98006445/2020	39.3902435	-0.543139	2	7	2020	Cow_Farm	Spain	Comunitat Valenciana	Castell<f3>n	1	2020-07-02	2020-07	2020-27
Portugal/PT1592/2020	56.2487679	9.3879137	3	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-03	2020-07	2020-27
Netherlands/NB-EMC-222/2020	51.5611725	5.1849928	3	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-03	2020-07	2020-27
Sweden/20-52284/2020	59.3327866	18.0644875	2	7	2020	Cow_Farm	Sweden	Stockholm	0	1	2020-07-02	2020-07	2020-27
Switzerland/SZ-ETHZ-190003/2020	47.0210342	8.6536007	3	7	2020	Cow_Farm	Switzerland	Schwyz	0	1	2020-07-03	2020-07	2020-27
Netherlands/NH-EMC-48/2020	52.5769081	4.924386	3	7	2020	Cow_Farm	Netherlands	North Holland	0	1	2020-07-03	2020-07	2020-27
Portugal/PT1593/2020	56.2487679	9.3879137	3	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-03	2020-07	2020-27
Germany/SH-ChVir8179/2020	54.5149651	9.5667725	1	7	2020	Cow_Farm	Germany	Schleswig-Holstein	0	1	2020-07-01	2020-07	2020-27
Netherlands/ZH-EMC-300/2020	51.9377823	4.462554	4	7	2020	Cow_Farm	Netherlands	South Holland	0	1	2020-07-04	2020-07	2020-27
Wales/MILK-6AA406/2020	51.481308	-3.1804979	2	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-02	2020-07	2020-27
Switzerland/BE-ETHZ-190074/2020	46.9480019	7.4481311	4	7	2020	Cow_Farm	Switzerland	Bern	0	1	2020-07-04	2020-07	2020-27
Germany/NW-KRO-038/2020	51.4796906	7.5623112	4	7	2020	Cow_Farm	Germany	North Rhine Westphalia	Guetersloh	1	2020-07-04	2020-07	2020-27
Netherlands/ZH-EMC-296/2020	51.9377823	4.462554	3	7	2020	Cow_Farm	Netherlands	South Holland	0	1	2020-07-03	2020-07	2020-27
Wales/ALDP-6B2FA0/2020	51.481308	-3.1804979	1	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-01	2020-07	2020-27
Netherlands/NH-EMC-47/2020	52.5769081	4.924386	4	7	2020	Cow_Farm	Netherlands	North Holland	0	1	2020-07-04	2020-07	2020-27
Italy/CAM-TIGEM-474/2020	40.8605804	14.8440666	2	7	2020	Cow_Farm	Italy	Campania	0	1	2020-07-02	2020-07	2020-27
Spain/GA-IBV-98006031/2020	42.7567787	-7.9099321	4	7	2020	Cow_Farm	Spain	Galicia	Ribeira	1	2020-07-04	2020-07	2020-27
Russia/OMS-ORINFI-2087S/2020	54.9797592	73.4106369	2	7	2020	Cow_Farm	Russia	Omsk	Omsk	1	2020-07-02	2020-07	2020-27
Luxembourg/LNS5553049/2020	49.889965	5.457335	5	7	2020	Cow_Farm	Luxembourg	Luxembourg	0	1	2020-07-05	2020-07	2020-27
Switzerland/ZH-ETHZ-190008/2020	47.3670006	8.5500002	3	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-03	2020-07	2020-27
Switzerland/ZH-ETHZ-180037/2020	47.3670006	8.5500002	1	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-01	2020-07	2020-27
mink/Netherlands/NB-EMC-17-3/2020	51.5611725	5.1849928	2	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-02	2020-07	2020-27
mink/Netherlands/NB-EMC-18-20/2020	51.5611725	5.1849928	4	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-04	2020-07	2020-27
Wales/ALDP-6CE81F/2020	51.481308	-3.1804979	2	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-02	2020-07	2020-27
Luxembourg/LNS4448393/2020	49.889965	5.457335	3	7	2020	Cow_Farm	Luxembourg	Luxembourg	0	1	2020-07-03	2020-07	2020-27
Sweden/20-21507/2020	59.8581314	17.6446209	4	7	2020	Cow_Farm	Sweden	Uppsala	0	1	2020-07-04	2020-07	2020-27
Portugal/PT1591/2020	55.8761482	12.3121624	3	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-03	2020-07	2020-27
Portugal/PT1624/2020	56.2487679	9.3879137	10	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-10	2020-07	2020-28
Norway/2883/2020	55.8761482	12.3121624	9	7	2020	Cow_Farm	Norway	0	0	1	2020-07-09	2020-07	2020-28
Norway/2872/2020	55.8761482	12.3121624	10	7	2020	Cow_Farm	Norway	0	0	1	2020-07-10	2020-07	2020-28
Netherlands/NB-EMC-323/2020	51.5611725	5.1849928	9	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-09	2020-07	2020-28
Russia/OMS-ORINFI-4828S/2020	54.9797592	73.4106369	10	7	2020	Cow_Farm	Russia	Omsk	Azovo	1	2020-07-10	2020-07	2020-28
Wales/PHWC-16A908/2020	51.481308	-3.1804979	7	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-07	2020-07	2020-28
Sweden/20-52386/2020	58.3167686	12.8683529	6	7	2020	Cow_Farm	Sweden	Vastra Gotaland	0	1	2020-07-06	2020-07	2020-28
NorthernIreland/QEUH-94386A/2020	54.6089058	-6.6949229	12	7	2020	Cow_Farm	United Kingdom	Northern Ireland	0	1	2020-07-12	2020-07	2020-28
Latvia/061/2020	50.0746613	-85.828743	7	7	2020	Cow_Farm	Latvia	0	0	1	2020-07-07	2020-07	2020-28
mink/Netherlands/NB-EMC-20-23/2020	50.975752	5.335691	9	7	2020	Cow_Farm	Netherlands	Limburg	0	1	2020-07-09	2020-07	2020-28
Russia/OMS-ORINFI-1612S/2020	54.9797592	73.4106369	6	7	2020	Cow_Farm	Russia	Omsk	Omsk	1	2020-07-06	2020-07	2020-28
Netherlands/NB-EMC-258/2020	51.5611725	5.1849928	8	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-08	2020-07	2020-28
Switzerland/ZH-ETHZ-200047/2020	47.3670006	8.5500002	10	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-10	2020-07	2020-28
Italy/ABR-IZSGC-TE92536/2020	42.2274933	13.8549938	6	7	2020	Cow_Farm	Italy	Abruzzo	0	1	2020-07-06	2020-07	2020-28
Russia/OMS-ORINFI-4791S/2020	54.9797592	73.4106369	10	7	2020	Cow_Farm	Russia	Omsk	Omsk	1	2020-07-10	2020-07	2020-28
Netherlands/NB-EMC-226/2020	51.5611725	5.1849928	11	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-11	2020-07	2020-28
Serbia/NP-0200907/2020	43.7330017	20.6669998	8	7	2020	Cow_Farm	Serbia	Ra<U+009A>ka District	Novi Pazar	1	2020-07-08	2020-07	2020-28
Serbia/NoviPazar-00391007/2020	43.7330017	20.6669998	9	7	2020	Cow_Farm	Serbia	Ra<U+009A>ka District	Novi Pazar	1	2020-07-09	2020-07	2020-28
Spain/PV-IBV-98006705/2020	43.0430984	-2.6168649	12	7	2020	Cow_Farm	Spain	Basque Country	Zarauz	1	2020-07-12	2020-07	2020-28
Switzerland/BS-42341282/2020	47.5648575	7.6152802	6	7	2020	Cow_Farm	Switzerland	Basel-Stadt	0	1	2020-07-06	2020-07	2020-28
NorthernIreland/QEUH-94385B/2020	54.6089058	-6.6949229	12	7	2020	Cow_Farm	United Kingdom	Northern Ireland	0	1	2020-07-12	2020-07	2020-28
Latvia/069/2020	50.0746613	-85.828743	10	7	2020	Cow_Farm	Latvia	0	0	1	2020-07-10	2020-07	2020-28
Netherlands/NB-EMC-249/2020	51.5611725	5.1849928	6	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-06	2020-07	2020-28
Russia/OMS-ORINFI-3019S/2020	54.9797592	73.4106369	6	7	2020	Cow_Farm	Russia	Omsk	Azovo	1	2020-07-06	2020-07	2020-28
Luxembourg/LNS2117299/2020	49.889965	5.457335	10	7	2020	Cow_Farm	Luxembourg	Luxembourg	0	1	2020-07-10	2020-07	2020-28
Sweden/20-53093/2020	61.4492455	16.2890415	10	7	2020	Cow_Farm	Sweden	Gavleborgs Lan	0	1	2020-07-10	2020-07	2020-28
Norway/2871/2020	56.2487679	9.3879137	8	7	2020	Cow_Farm	Norway	0	0	1	2020-07-08	2020-07	2020-28
Ireland/CO-NVRL-71IRL17107/2020	51.8978729	-8.4710875	9	7	2020	Cow_Farm	Ireland	Cork	0	1	2020-07-09	2020-07	2020-28
Wales/PHWC-16905F/2020	51.481308	-3.1804979	12	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-12	2020-07	2020-28
Latvia/068/2020	50.0746613	-85.828743	10	7	2020	Cow_Farm	Latvia	0	0	1	2020-07-10	2020-07	2020-28
NorthernIreland/QEUH-94390D/2020	54.6089058	-6.6949229	11	7	2020	Cow_Farm	United Kingdom	Northern Ireland	0	1	2020-07-11	2020-07	2020-28
Portugal/PT1608/2020	56.2487679	9.3879137	7	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-07	2020-07	2020-28
Latvia/056/2020	50.0746613	-85.828743	8	7	2020	Cow_Farm	Latvia	0	0	1	2020-07-08	2020-07	2020-28
Portugal/PT1606/2020	56.2487679	9.3879137	6	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-06	2020-07	2020-28
Spain/VC-IBV-98006471/2020	39.3902435	-0.543139	6	7	2020	Cow_Farm	Spain	Comunitat Valenciana	Castell<f3>n	1	2020-07-06	2020-07	2020-28
mink/Netherlands/NB-EMC-20-2/2020	51.5611725	5.1849928	9	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-09	2020-07	2020-28
Portugal/PT1609/2020	56.2487679	9.3879137	6	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-06	2020-07	2020-28
Spain/MD-HGUGM-20247923/2020	40.4166908	-3.700346	8	7	2020	Cow_Farm	Spain	Madrid	0	1	2020-07-08	2020-07	2020-28
Italy/ABR-IZSGC-TE94745/2020	42.2274933	13.8549938	10	7	2020	Cow_Farm	Italy	Abruzzo	0	1	2020-07-10	2020-07	2020-28
Portugal/PT1611/2020	56.2487679	9.3879137	7	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-07	2020-07	2020-28
Luxembourg/LNS2350135/2020	49.889965	5.457335	10	7	2020	Cow_Farm	Luxembourg	Luxembourg	0	1	2020-07-10	2020-07	2020-28
Ireland/WD-NVRL-71IRL06455/2020	52.2567863	-7.1292038	6	7	2020	Cow_Farm	Ireland	Waterford	0	1	2020-07-06	2020-07	2020-28
Serbia/Kraljevo-00040707/2020	43.7330017	20.6669998	6	7	2020	Cow_Farm	Serbia	Ra<U+009A>ka District	Kraljevo	1	2020-07-06	2020-07	2020-28
Netherlands/OV-EMC-80/2020	52.444561	6.4417748	10	7	2020	Cow_Farm	Netherlands	Overijssel	0	1	2020-07-10	2020-07	2020-28
Switzerland/BL-ETHZ-200006/2020	47.501203	7.715625	10	7	2020	Cow_Farm	Switzerland	Basel-Land	0	1	2020-07-10	2020-07	2020-28
Switzerland/BE-ETHZ-190043/2020	46.9480019	7.4481311	8	7	2020	Cow_Farm	Switzerland	Bern	0	1	2020-07-08	2020-07	2020-28
Wales/MILK-610878/2020	51.481308	-3.1804979	6	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-06	2020-07	2020-28
Russia/OMS-ORINFI-3027S/2020	54.9797592	73.4106369	6	7	2020	Cow_Farm	Russia	Omsk	Ust-Ishim	1	2020-07-06	2020-07	2020-28
Serbia/NP-0440907/2020	43.7330017	20.6669998	8	7	2020	Cow_Farm	Serbia	Ra<U+009A>ka District	Novi Pazar	1	2020-07-08	2020-07	2020-28
Switzerland/BL-ETHZ-190086/2020	47.501203	7.715625	7	7	2020	Cow_Farm	Switzerland	Basel-Land	0	1	2020-07-07	2020-07	2020-28
Spain/CT-HUVH-41018/2020	41.7979813	1.528533	12	7	2020	Cow_Farm	Spain	Catalunya	0	1	2020-07-12	2020-07	2020-28
Switzerland/ZH-ETHZ-200048/2020	47.3670006	8.5500002	10	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-10	2020-07	2020-28
Serbia/Sabac-000490807/2020	44.7569618	19.6940918	7	7	2020	Cow_Farm	Serbia	Sabac	0	1	2020-07-07	2020-07	2020-28
Spain/CT-IBV-97009547/2020	41.7979813	1.528533	10	7	2020	Cow_Farm	Spain	Catalunya	Santa Coloma de Gramenet	1	2020-07-10	2020-07	2020-28
Portugal/PT1620/2020	56.2487679	9.3879137	9	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-09	2020-07	2020-28
Russia/OMS-ORINFI-3868S/2020	54.9797592	73.4106369	8	7	2020	Cow_Farm	Russia	Omsk	Moskalenki	1	2020-07-08	2020-07	2020-28
Russia/SVE-RII-MH186S/2020	58.5865784	61.5301437	8	7	2020	Cow_Farm	Russia	Sverdlovsk	Verkhnyaya Pyshma	1	2020-07-08	2020-07	2020-28
mink/Netherlands/NB-EMC-22-1/2020	51.5611725	5.1849928	12	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-12	2020-07	2020-28
Wales/PHWC-169198/2020	51.481308	-3.1804979	7	7	2020	Cow_Farm	United Kingdom	Wales	0	1	2020-07-07	2020-07	2020-28
Switzerland/AG-ETHZ-200002/2020	47.436517	8.144788	10	7	2020	Cow_Farm	Switzerland	Aargau	0	1	2020-07-10	2020-07	2020-28
Switzerland/BL-ETHZ-190061/2020	47.501203	7.715625	9	7	2020	Cow_Farm	Switzerland	Basel-Land	0	1	2020-07-09	2020-07	2020-28
Ireland/D-NVRL-71IRL07157/2020	53.3440971	-6.2674861	7	7	2020	Cow_Farm	Ireland	Dublin	0	1	2020-07-07	2020-07	2020-28
Switzerland/BE-ETHZ-190026/2020	46.9480019	7.4481311	7	7	2020	Cow_Farm	Switzerland	Bern	0	1	2020-07-07	2020-07	2020-28
Spain/CT-IBV-97009549/2020	41.7979813	1.528533	10	7	2020	Cow_Farm	Spain	Catalunya	Mataro	1	2020-07-10	2020-07	2020-28
Switzerland/ZH-ETHZ-190056/2020	47.3670006	8.5500002	9	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-09	2020-07	2020-28
Serbia/Sabac-000110907/2020	44.7569618	19.6940918	8	7	2020	Cow_Farm	Serbia	Sabac	0	1	2020-07-08	2020-07	2020-28
mink/Netherlands/NB-EMC-21-1/2020	51.5611725	5.1849928	9	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-09	2020-07	2020-28
Switzerland/VD-ETHZ-190040/2020	46.657185	6.505449	8	7	2020	Cow_Farm	Switzerland	Vaud	0	1	2020-07-08	2020-07	2020-28
Netherlands/NB-EMC-451/2020	51.5611725	5.1849928	11	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-11	2020-07	2020-28
Portugal/PT1616/2020	56.2487679	9.3879137	8	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-08	2020-07	2020-28
Sweden/20-08931/2020	58.4169998	15.75	11	7	2020	Cow_Farm	Sweden	Ostergotland	0	1	2020-07-11	2020-07	2020-28
Russia/SVE-RII-MH183S/2020	58.5865784	61.5301437	8	7	2020	Cow_Farm	Russia	Sverdlovsk	Verkhnyaya Pyshma	1	2020-07-08	2020-07	2020-28
Luxembourg/LNS1308805/2020	49.889965	5.457335	8	7	2020	Cow_Farm	Luxembourg	Luxembourg	0	1	2020-07-08	2020-07	2020-28
Spain/PV-IBV-98006696/2020	43.0430984	-2.6168649	10	7	2020	Cow_Farm	Spain	Basque Country	Donostia-San Sebastian	1	2020-07-10	2020-07	2020-28
Ireland/D-NVRL-71IRL07248/2020	53.3440971	-6.2674861	7	7	2020	Cow_Farm	Ireland	Dublin	0	1	2020-07-07	2020-07	2020-28
mink/Netherlands/NB-EMC-21-2/2020	51.5611725	5.1849928	9	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-09	2020-07	2020-28
Italy/LAZ-INMI-28/2020	41.9806786	12.7668772	7	7	2020	Cow_Farm	Italy	Lazio	0	1	2020-07-07	2020-07	2020-28
Netherlands/NB-EMC-223/2020	51.5611725	5.1849928	8	7	2020	Cow_Farm	Netherlands	North Brabant	0	1	2020-07-08	2020-07	2020-28
Ireland/G-NVRL-20IRL40645-2/2020	53.2737961	-9.0517797	7	7	2020	Cow_Farm	Ireland	Galway	0	1	2020-07-07	2020-07	2020-28
Spain/PV-IBV-98006702/2020	43.0430984	-2.6168649	11	7	2020	Cow_Farm	Spain	Basque Country	Mendaro	1	2020-07-11	2020-07	2020-28
Netherlands/GE-EMC-294/2020	52.0617256	5.9390802	9	7	2020	Cow_Farm	Netherlands	Gelderland	0	1	2020-07-09	2020-07	2020-28
Spain/VC-IBV-98006443/2020	39.3902435	-0.543139	9	7	2020	Cow_Farm	Spain	Comunitat Valenciana	Castell<f3>n	1	2020-07-09	2020-07	2020-28
Switzerland/ZH-ETHZ-190039/2020	47.3670006	8.5500002	8	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-08	2020-07	2020-28
Switzerland/BL-ETHZ-190060/2020	47.501203	7.715625	9	7	2020	Cow_Farm	Switzerland	Basel-Land	0	1	2020-07-09	2020-07	2020-28
Netherlands/un-EMC-758/2020	55.438162	11.716534	6	7	2020	Cow_Farm	Netherlands	0	0	1	2020-07-06	2020-07	2020-28
Germany/NW-HHU-1442/2020	51.4796906	7.5623112	11	7	2020	Cow_Farm	Germany	North Rhine Westphalia	0	1	2020-07-11	2020-07	2020-28
Serbia/Ruma-254521007/2020	44.9867401	19.7480869	9	7	2020	Cow_Farm	Serbia	Srem District	Ruma	1	2020-07-09	2020-07	2020-28
Switzerland/ZH-ETHZ-190014/2020	47.3670006	8.5500002	6	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-06	2020-07	2020-28
Ireland/G-NVRL-20IRL40647/2020	53.2737961	-9.0517797	7	7	2020	Cow_Farm	Ireland	Galway	0	1	2020-07-07	2020-07	2020-28
Switzerland/BS-ETHZ-190085/2020	47.5648575	7.6152802	7	7	2020	Cow_Farm	Switzerland	Basel-Stadt	0	1	2020-07-07	2020-07	2020-28
Sweden/20-52356/2020	59.75	13.25	7	7	2020	Cow_Farm	Sweden	Varmland	0	1	2020-07-07	2020-07	2020-28
Switzerland/BL-ETHZ-190083/2020	47.501203	7.715625	7	7	2020	Cow_Farm	Switzerland	Basel-Land	0	1	2020-07-07	2020-07	2020-28
Spain/CT-HUVH-00116/2020	41.7979813	1.528533	10	7	2020	Cow_Farm	Spain	Catalunya	0	1	2020-07-10	2020-07	2020-28
Russia/OMS-ORINFI-5042S/2020	54.9797592	73.4106369	11	7	2020	Cow_Farm	Russia	Omsk	Muromtsevo	1	2020-07-11	2020-07	2020-28
Ireland/D-NVRL-20IRL39565/2020	53.3440971	-6.2674861	6	7	2020	Cow_Farm	Ireland	Dublin	0	1	2020-07-06	2020-07	2020-28
Portugal/PT1628/2020	56.2487679	9.3879137	11	7	2020	Cow_Farm	Portugal	0	0	1	2020-07-11	2020-07	2020-28
Italy/ABR-IZSGC-TE93935/2020	42.2274933	13.8549938	9	7	2020	Cow_Farm	Italy	Abruzzo	0	1	2020-07-09	2020-07	2020-28
Switzerland/BS-42341001/2020	47.5648575	7.6152802	6	7	2020	Cow_Farm	Switzerland	Basel-Stadt	0	1	2020-07-06	2020-07	2020-28
Switzerland/BL-ETHZ-190050/2020	47.501203	7.715625	9	7	2020	Cow_Farm	Switzerland	Basel-Land	0	1	2020-07-09	2020-07	2020-28
Latvia/062/2020	50.0746613	-85.828743	7	7	2020	Cow_Farm	Latvia	0	0	1	2020-07-07	2020-07	2020-28
Switzerland/VD-ETHZ-190087/2020	46.657185	6.505449	7	7	2020	Cow_Farm	Switzerland	Vaud	0	1	2020-07-07	2020-07	2020-28
Russia/CRIE4988935/2020	55.4961586	38.6231232	16	7	2020	Cow_Farm	Russia	Moscow Oblast	0	1	2020-07-16	2020-07	2020-29
NorthernIreland/QEUH-781A3F/2020	54.6089058	-6.6949229	16	7	2020	Cow_Farm	United Kingdom	Northern Ireland	0	1	2020-07-16	2020-07	2020-29
NorthernIreland/QEUH-7A5956/2020	54.6089058	-6.6949229	14	7	2020	Cow_Farm	United Kingdom	Northern Ireland	0	1	2020-07-14	2020-07	2020-29
NorthernIreland/QEUH-77BCE7/2020	54.6089058	-6.6949229	16	7	2020	Cow_Farm	United Kingdom	Northern Ireland	0	1	2020-07-16	2020-07	2020-29
Serbia/KV65-16-07/2020	55.8761482	12.3121624	15	7	2020	Cow_Farm	Serbia	0	0	1	2020-07-15	2020-07	2020-29
Serbia/KV-0391607/2020	43.7330017	20.6669998	15	7	2020	Cow_Farm	Serbia	Ra<U+009A>ka District	Kraljevo	1	2020-07-15	2020-07	2020-29
Sweden/20-52399/2020	58.3167686	12.8683529	15	7	2020	Cow_Farm	Sweden	Vastra Gotaland	0	1	2020-07-15	2020-07	2020-29
Switzerland/BL-ETHZ-200012/2020	47.501203	7.715625	13	7	2020	Cow_Farm	Switzerland	Basel-Land	0	1	2020-07-13	2020-07	2020-29
Scotland/QEUH-89AAD8/2020	55.9501953	-3.1875629	19	7	2020	Cow_Farm	United Kingdom	Scotland	0	1	2020-07-19	2020-07	2020-29
NorthernIreland/QEUH-79CC95/2020	54.6089058	-6.6949229	15	7	2020	Cow_Farm	United Kingdom	Northern Ireland	0	1	2020-07-15	2020-07	2020-29
Serbia/NP07-15-07/2020	55.438162	11.716534	14	7	2020	Cow_Farm	Serbia	0	0	1	2020-07-14	2020-07	2020-29
Switzerland/UR-ETHZ-210055/2020	46.796776	8.629573	19	7	2020	Cow_Farm	Switzerland	Uri	0	1	2020-07-19	2020-07	2020-29
Scotland/QEUH-7B078B/2020	55.9501953	-3.1875629	19	7	2020	Cow_Farm	United Kingdom	Scotland	0	1	2020-07-19	2020-07	2020-29
Switzerland/ZH-ETHZ-210051/2020	47.3670006	8.5500002	19	7	2020	Cow_Farm	Switzerland	Z<fc>rich	0	1	2020-07-19	2020-07	2020-29
Spain/PV-IBV-98006732/2020	43.0430984	-2.6168649	16	7	2020	Cow_Farm	Spain	Basque Country	Mendaro	1	2020-07-16	2020-07	2020-29
Switzerland/BS-ETHZ-200055/2020	47.5648575	7.6152802	13	7	2020	Cow_Farm	Switzerland	Basel-Stadt	0	1	2020-07-13	2020-07	2020-29
Spain/PV-IBV-98006728/2020	43.0430984	-2.6168649	16	7	2020	Cow_Farm	Spain	Basque Country	Donostia-San Sebastian	1	2020-07-16	2020-07	2020-29
Sweden/20-52825/2020	58.3167686	12.8683529	14	7	2020	Cow_Farm	Sweden	Vastra Gotaland	0	1	2020-07-14	2020-07	2020-29
Norway/2900/2020	60.058649	9.669657	18	7	2020	Cow_Farm	Norway	Viken	0	1	2020-07-18	2020-07	2020-29
