Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year	TP1	TP2
Wales/PHWC-4BED51/2021	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	25	1	2021	0	1
Ireland/WH-NVRL-e85IRL83533/2021	Cow_Farm	Ireland	Westmeath	0	53.425045	-7.9446239	15	2	2021	0	1
Norway/3663/2021	Cow_Farm	Norway	Vestland	0	60.787185	5.973351	2	2	2021	0	1
Luxembourg/LNS2472886/2021	Cow_Farm	Luxembourg	Luxembourg	0	49.889965	5.457335	2	1	2021	0	1
Wales/PHWC-49A034/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	28	11	2020	0	1
NorthernIreland/CAMC-1063CAA/2021	Cow_Farm	United Kingdom	Northern Ireland	0	54.6089058	-6.6949229	16	1	2021	0	1
Italy/CAM-TIGEM-3538/2021	Cow_Farm	Italy	Campania	0	40.8605804	14.8440666	1	1	2021	0	1
Wales/PHWC-16F323/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	5	10	2020	1	1
Iceland/4081/2020	Cow_Farm	Iceland	Reykjavik	0	64.1472092	-21.9424	16	10	2020	0	1
Poland/NIPH-NIH_ECDC-213/2021	Cow_Farm	Poland	Podlaskie	Bia?ystok	53.2644501	22.9296741	9	2	2021	0	1
Netherlands/ZH-EMC-1035/2020	Cow_Farm	Netherlands	South Holland	0	51.9377823	4.462554	23	11	2020	0	1
Netherlands/LI-MUMC-708/2021	Cow_Farm	Netherlands	Limburg	Sittard-Geleen	50.975752	5.335691	26	1	2021	0	1
Switzerland/BE-ETHZ-440485/2021	Cow_Farm	Switzerland	Bern	0	46.9480019	7.4481311	1	1	2021	0	1
Iceland/4155/2020	Cow_Farm	Iceland	Reykjavik	0	64.1472092	-21.9424	27	10	2020	0	1
Spain/CT-IBV-98014618/2021	Cow_Farm	Spain	Catalunya	Barcelona	41.7979813	1.528533	18	1	2021	0	1
